Month of Year,Domain,Operating System,State/Province,Source,Bounces,Entrances,Pageviews,Time on Page
1,unknown.unknown,Android,Quebec,uottawa.ca,9,14,37,796
1,teksavvy.com,Android,Ontario,(direct),9,19,37,567
1,rogers.com,Android,Ontario,uottawa.ca,9,37,164,"22,475"
1,unknown.unknown,Android,Ontario,catalogue.bib.uottawa.ca,14,14,14,0
1,videotron.ca,Android,Quebec,(direct),14,14,14,0
1,bell.ca,Android,Ontario,uottawa.ca,14,19,52,688
1,unknown.unknown,Android,Ontario,web33.uottawa.ca,14,19,23,211
1,wind.ca,Android,Ontario,(direct),14,47,122,"2,660"
1,stsn.com,Android,Ontario,google,19,37,61,"1,803"
1,rogers.com,Android,Ontario,google,19,47,131,"4,799"
1,uottawa.ca,Android,Ontario,google,19,56,126,"11,729"
1,union-vie.ca,Android,Ontario,uottawa.ca,23,33,42,290
1,wind.ca,Android,Ontario,google,33,47,66,801
1,uottawa.ca,Android,Ontario,uottawa.ca,33,47,75,"4,668"
1,unknown.unknown,Android,Quebec,(direct),33,56,98,"3,535"
1,rogers.com,Android,Ontario,(direct),33,61,131,"11,973"
1,unknown.unknown,Android,Quebec,google,42,66,136,"1,746"
1,unknown.unknown,Android,Ontario,uottawa.ca,42,89,215,"5,633"
1,unknown.unknown,Android,Ontario,(direct),47,117,286,"8,133"
1,uottawa.ca,Android,Ontario,(direct),52,94,155,"9,112"
1,unknown.unknown,Android,Ontario,google,80,122,183,"1,498"
1,blackberry.net,BlackBerry,,google,0,5,9,"1,508"
1,unknown.unknown,BlackBerry,,google,0,5,19,440
1,rogers.com,BlackBerry,British Columbia,registrar.uottawa.ca,0,5,9,290
1,blackberry.net,BlackBerry,Ontario,alumni.uottawa.ca,0,5,14,295
1,uottawa.ca,BlackBerry,Ontario,(direct),0,14,28,262
1,opera-mini.net,BlackBerry,,uottawa.ca,5,5,5,0
1,acanac.net,BlackBerry,Ontario,google,5,5,5,0
1,wind.ca,BlackBerry,Ontario,google,5,5,5,0
1,unknown.unknown,BlackBerry,Ontario,registraire.uottawa.ca,5,5,5,0
1,unknown.unknown,BlackBerry,Ontario,uottawa.ca.,5,5,5,0
1,vgccl.net,BlackBerry,Rivers,(direct),5,5,5,0
1,uottawa.ca,BlackBerry,Ontario,google,5,9,14,61
1,opera-mini.net,BlackBerry,,(direct),9,9,9,0
1,rogers.com,BlackBerry,Ontario,(direct),9,9,9,0
1,union-vie.ca,BlackBerry,Ontario,(direct),9,9,9,0
1,unknown.unknown,BlackBerry,Ontario,google,9,9,9,0
1,uottawa.ca,BlackBerry,Ontario,uottawa.ca,9,9,9,0
1,blackberry.net,BlackBerry,Ontario,uottawa.ca,9,19,33,"1,217"
1,unknown.unknown,BlackBerry,Ontario,uottawa.ca,9,23,61,"4,584"
1,rogers.com,BlackBerry,Ontario,uottawa.ca,14,19,28,94
1,rogers.com,BlackBerry,Ontario,google,14,28,47,595
1,blackberry.net,BlackBerry,Ontario,(direct),28,37,52,"3,437"
1,blackberry.net,BlackBerry,Ontario,google,33,75,201,"4,420"
1,wlms-broadband.com,Chrome OS,England,search,0,5,9,197
1,rogers.com,iOS,Ontario,search,0,0,9,0
1,opera-mini.net,iOS,,(direct),0,5,9,473
1,comcast.net,iOS,Florida,google,0,5,9,159
1,tedata.net,iOS,Giza,google,0,5,9,80
1,purdue.edu,iOS,Indiana,(direct),0,5,9,239
1,mycingular.net,iOS,Louisiana,(direct),0,5,9,66
1,unknown.unknown,iOS,Manitoba,(direct),0,5,14,304
1,mtsallstream.net,iOS,Manitoba,uottawa.ca,0,5,23,145
1,bellaliant.net,iOS,New Brunswick,(direct),0,5,19,169
1,aliant.ca,iOS,New Brunswick,google,0,5,28,"1,157"
1,aliant.ca,iOS,Newfoundland and Labrador,uottawa.ca,0,5,9,23
1,vianet.ca,iOS,Ontario,(direct),0,5,9,28
1,xplornet.com,iOS,Ontario,(direct),0,5,9,464
1,ncf.ca,iOS,Ontario,(direct),0,5,14,567
1,pnap.net,iOS,Ontario,(direct),0,5,14,515
1,distributel.net,iOS,Ontario,(direct),0,5,19,159
1,videotron.ca,iOS,Ontario,(direct),0,5,19,"1,152"
1,uottawa.ca,iOS,Ontario,bing,0,5,9,14
1,unknown.unknown,iOS,Ontario,courseweb.uottawa.ca,0,5,28,"2,093"
1,bell.ca,iOS,Ontario,droitcivil.uottawa.ca,0,5,9,28
1,algonquincollege.com,iOS,Ontario,google,0,5,14,140
1,wind.ca,iOS,Ontario,google,0,5,14,"1,039"
1,bell.ca,iOS,Ontario,google.com,0,5,9,47
1,bell.ca,iOS,Ontario,tlss.uottawa.ca,0,5,9,9
1,unknown.unknown,iOS,Ontario,uocal.uottawa.ca,0,5,28,"5,656"
1,algonquincollege.com,iOS,Ontario,uottawa.ca,0,5,19,"5,193"
1,acanac.net,iOS,Ontario,uottawa.ca,0,5,47,604
1,pnap.net,iOS,Ontario,uottawa.ca,0,5,56,"2,135"
1,bell.ca,iOS,Ontario,uottawa.ca.libguides.com,0,5,9,28
1,storm.ca,iOS,Ontario,uottawa.ca.libguides.com,0,5,9,"1,526"
1,allstream.net,iOS,Ontario,web33.uottawa.ca,0,5,84,"6,916"
1,proxad.net,iOS,Provence-Alpes-Cote d'Azur,llmphd.uottawa.ca,0,5,9,220
1,ripnet.com,iOS,Quebec,(direct),0,5,9,"2,013"
1,teksavvy.com,iOS,Quebec,(direct),0,5,9,169
1,teksavvy.com,iOS,Quebec,catalogue.bib.uottawa.ca,0,5,9,33
1,xittel.net,iOS,Quebec,catalogue.bib.uottawa.ca,0,5,9,61
1,videotron.ca,iOS,Quebec,droitcivil.uottawa.ca,0,5,9,89
1,bell.ca,iOS,Quebec,google.ca,0,5,9,871
1,bell.ca,iOS,Quebec,med.uottawa.ca,0,5,9,37
1,videotron.ca,iOS,Quebec,registraire.uottawa.ca,0,5,23,"7,459"
1,videotron.ca,iOS,Quebec,uottawa.ca.libguides.com,0,5,9,19
1,unknown.unknown,iOS,Quebec,yahoo,0,5,9,220
1,prod-infinitum.com.mx,iOS,Sinaloa,catalogue.bib.uottawa.ca,0,5,9,70
